query,result,score
0088|0003|0017,0085|0003|0018,0.8904565073833011
0046|0021|0017,0045|0017|0016,0.8904565073833011
0091|0034|0037,0076|0065|0035,0.8904266937510968
0068|0389|0016,0069|0044|0008,0.8904071917791836
0069|0044|0008,0068|0389|0016,0.8904071917791836
0069|0033|0031,0068|0139|0028,0.8903812130721936
0068|0139|0028,0069|0033|0031,0.8903812130721936
0094|0003|0014,0096|0003|0014,0.8903016245010491
0086|0004|0023,0078|0007|0005,0.8903016245010491
0086|0004|0023,0081|0003|0003,0.8903016245010491
0047|0030|0019,0063|0005|0018,0.8903016245010491
0081|0003|0003,0086|0004|0023,0.8903016245010491
0076|0065|0035,0091|0034|0037,0.8903016245010491
0078|0007|0005,0086|0004|0023,0.8903016245010491
0063|0005|0018,0047|0030|0019,0.8903016245010491
0076|0038|0014,0075|0035|0028,0.8903016245010491
0075|0036|0022,0076|0038|0014,0.8903016245010491
